BASE_YM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,SIGNGU_ACCTO_FCLTY_CO,SIGNGU_ACCTO_POPLTN_CO,PSNBY_FCLTY_CO,PSNBY_FCL_CO_RANK_CO
"202009","2800000000","인천광역시","2823700000","부평구","134","497902","0.00027","171"
"202009","2800000000","인천광역시","2824500000","계양구","16","297540","0.00005","226"
"202009","2800000000","인천광역시","2826000000","서구","219","543365","0.00040","144"
"202009","2800000000","인천광역시","2871000000","강화군","172","69070","0.00249","34"
"202009","2800000000","인천광역시","2872000000","옹진군","75","20425","0.00367","21"
"202009","2900000000","광주광역시","2911000000","동구","70","100993","0.00069","105"
"202009","2900000000","광주광역시","2914000000","서구","162","298030","0.00054","125"
"202009","2900000000","광주광역시","2915500000","남구","152","215266","0.00071","104"
"202009","2900000000","광주광역시","2917000000","북구","188","432525","0.00043","138"
"202009","2900000000","광주광역시","2920000000","광산구","172","407138","0.00042","141"
"202009","3000000000","대전광역시","3011000000","동구","99","223368","0.00044","135"
"202009","3000000000","대전광역시","3014000000","중구","109","237425","0.00046","133"
"202009","3000000000","대전광역시","3017000000","서구","74","480780","0.00015","198"
"202009","3000000000","대전광역시","3020000000","유성구","226","352604","0.00064","108"
"202009","3000000000","대전광역시","3023000000","대덕구","31","174922","0.00018","188"
"202009","3100000000","울산광역시","3111000000","중구","85","218862","0.00039","147"
"202009","3100000000","울산광역시","3114000000","남구","34","321494","0.00011","211"
"202009","3100000000","울산광역시","3117000000","동구","46","157396","0.00029","168"
"202009","3100000000","울산광역시","3120000000","북구","47","218903","0.00021","178"
"202009","3100000000","울산광역시","3171000000","울주군","84","222713","0.00038","151"
"202009","3600000000","세종특별자치시","3611000000","세종시","73","348014","0.00021","180"
"202009","4100000000","경기도","4111000000","수원시","247","1188926","0.00021","181"
"202009","4100000000","경기도","4113000000","성남시","235","941783","0.00025","173"
"202009","4100000000","경기도","4115000000","의정부시","135","458273","0.00029","166"
"202009","4100000000","경기도","4117000000","안양시","34","553286","0.00006","223"
"202009","4100000000","경기도","4119000000","부천시","379","822000","0.00046","132"
"202009","4100000000","경기도","4121000000","광명시","29","305836","0.00009","213"
"202009","4100000000","경기도","4122000000","평택시","226","529140","0.00043","140"
"202009","4100000000","경기도","4125000000","동두천시","128","93901","0.00136","70"
"202009","4100000000","경기도","4127000000","안산시","113","653505","0.00017","189"
"202009","4100000000","경기도","4128000000","고양시","305","1075841","0.00028","169"
"202009","4100000000","경기도","4129000000","과천시","49","61982","0.00079","93"
"202009","4100000000","경기도","4131000000","구리시","53","197974","0.00027","172"
"202009","4100000000","경기도","4136000000","남양주시","142","710433","0.00020","184"
"202009","4100000000","경기도","4137000000","오산시","80","229249","0.00035","155"
"202009","4100000000","경기도","4139000000","시흥시","157","493005","0.00032","158"
"202009","4100000000","경기도","4141000000","군포시","30","274985","0.00011","209"
"202009","4100000000","경기도","4143000000","의왕시","21","163720","0.00013","203"
"202009","4100000000","경기도","4145000000","하남시","51","287452","0.00018","187"
"202009","4100000000","경기도","4146000000","용인시","264","1075697","0.00025","175"
"202009","4100000000","경기도","4148000000","파주시","110","461314","0.00024","177"
"202009","4100000000","경기도","4150000000","이천시","120","219531","0.00055","124"
"202009","4100000000","경기도","4155000000","안성시","77","186460","0.00041","142"
"202009","4100000000","경기도","4157000000","김포시","36","463735","0.00008","218"
"202009","4100000000","경기도","4159000000","화성시","296","846850","0.00035","154"
